510269069;AANO;A
513506106;Bengam;ALETTA N
604177577;Botsane;ANDRIES
626834034;CHIRI;AUGUSTINUS
637477377;DHOANE;BIANCA
714876676;DLAMBEWU;BONGILE
719457657;FINGER;cathrine n.
715252052;GOSO;DANIEL
713595295;HLOHLOLO;DIATILE
714535435;JASONE;DIMAKATSO
717343043;KAMA;Dipuo
728459959;KGOSI;E.KAMOGELO
721952652;KHELELI;ELIZABETH MMEME
729620820;KHOTSENG;ERNEST M
720427127;koenaesele;FRANCINAH POLISA
720885685;KUBANCA;GEORGE M
726154654;LEBETSA;GRITTA
724038138;Lefa;ISAAC
723937637;LEKHULA;IVAN
724840340;LEPHEPHELO;Jashim
732359559;LETELE;Johannes Mapodile
736707807;LINKO;Joseph Ntubu
730757957;MAARTENS;KABELO
734765065;MACHONA;KARABO
739123663;MAGAGE;KEDIEMETSE
732749549;MAIKHI;KELEBOHILE
736795595;Makatise;KGOBOTLO GRATITUDE
730719519;MAKHETHA;KHOTSO STEPHEN
735167867;MAKWABA;Leagisho Henry
739498998;MALOKA;LEBOHANG THATO
733489233;Manu;LEHLOHONOLO ELIAS
737659659;MARIBE;LERATO
731572972;MASHNABI;LETSHEGO
735473773;matakane;LITABA
739674074;MATI;LYDIA KEROMAMANG
733924524;MATSEPE;MADIRA SUSAN
737874874;MAYO;MAKAIPEA ANGELWA
732781281;MEHLO;MALEHOLA CLEMENTINA
736936236;MGEDEZA;MAMOKETE
731635135;MMATIE;MANNINI
735505113;MODIRWA;MARGARET
739816316;MOEPI;MARTHA NYENTJA
734542542;MOGOROSI;MASHOTI MARIA
739415215;MOHLAHLI;MATSELISO
746701201;Mohutsiwa;MAVAME
744900500;MOKEKI;MICHAEL
767365065;mokhele;MMOTHANA ARIEL
768708608;mokhunoana;MOEKETSI JOSEPH
761716216;MOKONE;MOHQNUDA
765117017;MOLAUDI;Mokete
766030130;MOLEMELA;MOLEBOHENG PORTIA
769093393;MOLOJA;MONGEZI
762120120;mongole;MORREN BUSISIWE
763666066;Mooko;MOTANKEI HAPPINESS
783690990;MORETI;MOTSAMAI FRANS
781087187;MOSEHLE;MPHO
785428828;mosili;MPOMO
789598998;MOTHABE;NAPO DANIEL
784587987;Motlhabane;NKARENG
788737737;MOTSE;NOMATYALA MIRRIAM
783027527;MOYAMENI;NONTEMBISO SARAH
787690290;MPOFU;NTEMBALENG V
782790790;MVIMBI;Nthabiseng Queen
789495695;NCIKE;Ntsuku
785522322;Ngququ;ONKGOPOTSE
781704704;NKIEANE;PALESA CHARITY
788375775;Norman;Paulus Ditaba
785288088;NTHOBA;PHEPHUKA
782941641;NTSHAMO;POPPIE M.
781819519;NYOLI;PULE ALEX
792495495;PETER;PUSELETSO EMILY
799934134;PHELE;Reabetsoe
793756563;PITSI;Rethabile
796062262;PULE;SABATA
797468668;RAJETHUMTSHA;SARAH
810611073;Ramalefane;SEHLOHO PALESA
828428328;RAMOLULA;SELLO
829222022;RAPULE;SESING
824248548;SALEMANE;SIMON M
820900900;SEBOLAO;SOPHIE V
826823323;SEGATANA;T.JOHANNES
836076876;SEKHONYELA;TEBOGO A
835040440;SELLO;TEBOHO RICHARD
832833433;SEPHAKA;thabang innocent
834906606;SETLAI;thabo
834352352;Shuping;THABO TIMOTHY
830805505;SOLANI;THAPELO I
839688488;TAMAKO;THEMBINKOSI
835208708;THAFENI;TILLS S
837963663;THINI;tseko johannes
836257557;TITUS;TSHEPISO P
845487787;Toai;Tshokolo
845040340;TSHEISI;TUMELO
846808008;TSOLO;VIOLET
844225025;VENKILE;WILLIAM
845502302;ZAZAZA;ZIMKHITHA
510201101;AARON;A
513511053;BENGANE;ALETTA N
604193893;BOTSANE;ANDRIES
627170770;chiritumarara;Augustinus Bereng
637560360;DHUTHI;BIANCA MAKHETHE
714873773;DLAMINE;BONGILE
719544844;FINGER;CATHY JENNIFER
715240640;GOTTSCHALK;Daniel
713546746;HLOHLOMI;DIAU
714539339;JASONE;DIMAKATSO
717342142;KAMAKATSA;DIPUO
728498898;KGOSI;E.KABELO
729629529;KHELELI;ELIZABETH MMEME
729623023;KHOTSENG;Ernest Lichaba
720492192;KOENAESELE;FRANCINAH T
720899399;KUBANCA;GEORGE M
721818018;LEBETSO;GXEKIWE S
724058058;LEFA;ISAAC
723940140;Lekhula;IVAN
724851451;LEPHEPHELO;JASMINE
732361761;LETELE;JOHANNES MOHAPI
736780780;LINKO;JOSEPH NTSUKUNYAME
730788988;MAARTENS;KABELO
734703103;machosi;KARABO
739129229;MAGAGE;KEDIEMETSE
732754354;MAIKHI;Kelebohile
736709709;MAKATISI;KGOITSEMANG
730722922;Makhetha;KHUDUGA
735174973;MAKWABA;LEA
739513313;Maloka;LEBOHANG W
733489989;Manu;lehlohonolo emmanuel
737662862;MARIBE;LERATO
731593993;MASHNOUR;LETSHEGO
735473843;MATAKANE;LITABA
739698098;MATIA;LYDIA M
733930293;Matsepe;MADIPHAPANG
737908008;MAYO;MAKALA MAGGY
732783483;MEHLO;MALEKE
736977277;MGEDEZA;MAMOKETE
731611311;MMATLI;MANNINI
735505153;MODIRWA;MARGARET
739819619;MOEPI;MARTHA SEITLHOMI
734545183;MOGOROSI;MASHOAI
739401901;MOHLAHLO;MATSELISO
746771371;MOHUTSIWA;MAVHUNGU
744905505;MOKEKI;MICHAEL
767369969;MOKHELE;Mmusapelo Charles
768721221;Mokhunoana;MOEKETSI JONAS
761719219;MOKONE;MOHURUTSI DAVID
765117217;MOLAUDI;MOKETE ALFRED
766033133;MOLEMELA;MOLEBOHENG REVELATION
769068968;MOLOJO;MONGEZI
762154254;MONGOLE;MORRIEN
763696296;Mookotsi;MOTANYANE
783714214;MORETLO;Motsamai Gilbert
781089189;MOSEHLE;MPHO
785439839;MOSILI;MPOMO F
789611611;MOTHABENG;NASA VOS
784600500;MOTLHABANE;Nkeka Sydwell
788743443;MOTSE;NOMATYALA
783029529;MOYANA;NONTETHO
787623523;MPOIHI;NTEMI
782798653;MVIMBI;NTHABISENG RACHEL
789445945;NCINCI;NTSWAKI
785524324;NGQUQU;ONKOKAME DAVID
781747847;NKIKANA;PALESA CONFIDENCE
788404763;NORMAN;Paulus Khabautloele
785293593;NTHOBA;PHETHISO
782956783;NTSHAMO;POPPIE M
781852053;NYOMATE;PULE ALEXIS
792504204;PETER;PUSELETSO EMILY
799966066;PHELE;REABETSOE
793794583;PITSI;Rethabile
796085385;PULE;SABATA
797433733;RAJOALE;SARAH
810611111;RAMALEFANE;Sehloho Patrick
828429829;RAMOLULA;SELLO
829227127;RAPULENG;SESING
824253553;SALEMANE;SIMON M
820904704;SEBOLAO;SOPHIE P
826832343;SEGATLAKA;T.JOHANNES
836104963;SEKHONYONA;TEBOGO AABAKI BOOYSEN
835041241;SELLO;TEBOHO PIET
832834334;Sephaka;THABANG GODFREY
839520820;Setlai;THABO
834355355;SHUPING;THABO TREVOR-GILES
830946446;SOLANI;THAPELO INNOCENT
839694594;TAMAKO;Thembinkosi B
835221521;THAFENI;TILENG  G
837969769;Thini;TSEKO JOHN
836271571;TITUS;TSHEPISO P
845503403;TOAI;TSHOKOLO
845041341;TSHEISI;Tumelo
846822822;tsolo;VIOLET
844249449;VENKILE;WILLIAM
845530230;ZAZAZA;ZIMANGELE IZAAC
510207107;AARON;A
513511111;Bengane;Aletta Polo
604205605;BOTSANE;ANDRIES
628249649;CHIRONGO;AUGUSTINUS SABATA
637503503;DIA;BIBI DAVID
714902502;DLAMINI;BONGINKOSI
719555755;Finger;Cathrine Sehlomeng
715331131;GOUSE;DANIEL
713550850;HLOHLOMI;DIAU MICHAEL
714507907;Jasong;DIMAKATSO
717331331;KAMANAMANE;Dipuo
728511611;Kgosi;E.MAIPATO
729633533;KHELELI;Elizabeth Modiegi
729640940;Khotseng;ERNEST MOLEFI
720490290;KOENAESILE;FRANCIOU
720891691;KUBANELA;george malefetsane
721879079;LEBETUA;GYABULELA WILLIAM
724060060;LEFA;ISAAC
724013513;LEKHULA;IVAN THAMSANQA
724878778;LEPHEPHELO;JASON
732362273;LETELE;JOHANNES MATEKANE
736719819;linkonyane;JOSEPH P
730809109;MAARTINS;Kabelo
734715115;MACHOSI;Karabo
739129423;MAGAGE;KEDIEMETSE
732761561;Maikhi;kelebohile
736764964;MAKATISI;Kgojane Elias
730728928;MAKHETHA;KHUDUGA DAVID
735175183;MAKWABA;LEABI PAULUS
739526463;MALOKA;LEBOHANG VINCENT
733494994;MANUKU;LEHLOHONOLO EPHRAIM
737671171;MARIBE;Lerato
731599999;mashoabi;LETSHEGO
735480173;MATAKANE;LITABA
739620120;MATIABE;LYDIA M
733936336;MATSEPE;Madipuo
737908708;MAYO;MAKALO
732785485;MEHLO;MALEKE
736984084;MGEDEZA;MAMOKETE
731614214;MMATLI;MANNINI
735505193;modirwa;MARGARET
739829329;Moepi;MARTHA P
734550550;Mogorosi;Mashuae Vincent
739416216;MOHLAHLO;MATSELISO
746779079;mohutsiwa;MAUTHO
744911511;MOKEKI;Michael
767378978;MOKHELE;MMUSETSI
768727227;Mokhunoana;MOEKETSI JONAS
761720220;MOKONE;MOHUTSIOA JONAS
765138038;MOLAUDI;MOKETE
766041541;Molemela;MOLEBOHENG RINAH
769147147;MOLOKE;MONGEZI
762160460;MONGOLO;MORRIS
763698398;MOOKUDI;motao
783737037;MORETLO;MOTSAMAI G
781096396;Mosehle;MPHO
785464233;MOSILI;MPOLOKEY M
789612012;MOTHABENG;NAPO E
784602202;MOTLHABANE;NKATISENG
788753753;MOTSE;NOMATYALA SUZAN
783031531;MOYATLE;NONTETHO PHILADELPHIA
787636536;MPOIHI;NTEMI L
782799899;MVIMBI;NTHABISENG RABECA
789510083;NCINCI;NTSWAKI
785550450;NGQUQU;ONNEILE OLIVIA
781794894;NKIKANA;Palesa Constance
788419019;NORMAN;PAULUS DUMISI
785335235;NTHOBA;PHIKANE
788243943;NTSHAMO;POPPIE M
781823523;Nyondo;Pule Alwyn
792531831;PETER;PUSELETSO EMMANUEL
799959959;Pheleu;REABETSWE
793838138;PITSI;RETHABILE
796096096;PULE;Sabata
797484784;RAJONASE;SARAH
810632532;Ramalefane;SEHLOMENG
828430030;RAMOLULA;SELLO
829239139;Rapuleng;SESING
824257557;SALEMANE;SIMON M
820909809;Sebolao;SOPHIE SEKAMOTHO
826801901;SEGAU;T.JOSEPH
836164164;SEKHOPA;TEBOGO ABRAM
835046846;SELLO;TEBOHO SAM
832835335;SEPHAKA;THABANG GOODWILL
839529929;SETLAI;THABO
834357757;SHUPING;THABO W
830987393;SOLANI;Thapelo Irvin
839607707;TAMANE;THEMBINKOSI JOHN
835225625;THAFENI;TILLA
837936836;THINTHI;Tseko John
836228628;TIUMBU;tshepiso patricia
845529029;TOAI;TSHOKOLO
